barangay,city,province,region,urban_or_rural,population_2020
Adgao,Tubungan,Iloilo,Region VI (Western Visayas),R," 1,177 "
Ayubo,Tubungan,Iloilo,Region VI (Western Visayas),R, 319 
Pantao,Calatrava,Negros Occidental,Region VI (Western Visayas),R," 1,013 "
Lumbia,Cauayan,Negros Occidental,Region VI (Western Visayas),R," 2,077 "
Tan-Awan,City of Kabankalan,Negros Occidental,Region VI (Western Visayas),U," 7,171 "
Palaka Norte,Pulupandan,Negros Occidental,Region VI (Western Visayas),R," 1,101 "
Guimbala-on,City of Silay,Negros Occidental,Region VI (Western Visayas),U," 11,064 "
Maricalum,City of Sipalay,Negros Occidental,Region VI (Western Visayas),R," 4,459 "
Santo Rosario,Buenavista,Guimaras,Region VI (Western Visayas),R," 2,664 "
Viga,Antequera,Bohol,Region VII (Central Visayas),R, 562 
Datag Norte,Balilihan,Bohol,Region VII (Central Visayas),R, 695 
Eastern Cabul-an,Buenavista,Bohol,Region VII (Central Visayas),R," 2,191 "
Songculan,Dauis,Bohol,Region VII (Central Visayas),U," 5,127 "
U-og,Inabanga,Bohol,Region VII (Central Visayas),R," 1,084 "
Cuasi,Loon,Bohol,Region VII (Central Visayas),R," 1,239 "
San Roque,Sagbayan,Bohol,Region VII (Central Visayas),R, 464 
Magsaysay,Valencia,Bohol,Region VII (Central Visayas),R, 692 
Kawasan,Aloguinsan,Cebu,Region VII (Central Visayas),R," 2,450 "
Dapdap,Compostela,Cebu,Region VII (Central Visayas),R," 1,498 "
Kambanog,Dumanjug,Cebu,Region VII (Central Visayas),R, 462 
Tungkop,Minglanilla,Cebu,Region VII (Central Visayas),U," 14,252 "
Anibong,Ayungon,Negros Oriental,Region VII (Central Visayas),R," 2,102 "
Tibyawan,Ayungon,Negros Oriental,Region VII (Central Visayas),R," 1,797 "
Piapi,City of Dumaguete ,Negros Oriental,Region VII (Central Visayas),U," 4,842 "
Malusay,City of Guihulngan,Negros Oriental,Region VII (Central Visayas),R," 3,727 "
Balabag West,Valencia,Negros Oriental,Region VII (Central Visayas),R," 2,085 "
San Jose,City of Borongan ,Eastern Samar,Region VIII (Eastern Visayas),R, 942 
Malobago,Maslog,Eastern Samar,Region VIII (Eastern Visayas),R, 133 
Balinsasayao,Abuyog,Leyte,Region VIII (Eastern Visayas),R," 2,312 "
Makinhas,City of Baybay,Leyte,Region VIII (Eastern Visayas),R," 1,087 "
San Francisco,Isabel,Leyte,Region VIII (Eastern Visayas),R, 830 
Waterloo,Matalom,Leyte,Region VIII (Eastern Visayas),R, 547 
San Isidro,Ormoc City,Leyte,Region VIII (Eastern Visayas),U," 6,210 "
San Juan,Palompon,Leyte,Region VIII (Eastern Visayas),R," 2,875 "
Pinarigusan,San Miguel,Leyte,Region VIII (Eastern Visayas),R, 525 
Catigbian,Tanauan,Leyte,Region VIII (Eastern Visayas),R, 213 
Punta Pob.,San Vicente,Northern Samar,Region VIII (Eastern Visayas),R, 913 
Genagasan,Silvino Lobos,Northern Samar,Region VIII (Eastern Visayas),R, 766 
Langoyon,City of Calbayog,Samar,Region VIII (Eastern Visayas),R, 215 
Bagong Lipunan,City of Calbayog,Samar,Region VIII (Eastern Visayas),R, 231 
Ferreras,Marabut,Samar,Region VIII (Eastern Visayas),R, 526 
Santo Niño,Paranas,Samar,Region VIII (Eastern Visayas),R, 203 
Salvacion,Hinunangan,Southern Leyte,Region VIII (Eastern Visayas),R, 483 
Inolinan,San Ricardo,Southern Leyte,Region VIII (Eastern Visayas),R, 654 
San Antonio,Manukan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 2,422 "
San Antonio,Polanco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,474 "
Piao,Pres. Manuel A. Roxas,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,319 "
Sinipay,Sibutad,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 471 
Misok,Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,037 "
Mamawan,Gutalac,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,280 "
La Victoria,Aurora,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 986 
Lintugop,Aurora,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 2,664 "
Balukbahan,Bayog,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,542 "
Tawagan Sur,City of Pagadian ,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 2,529 "
Malating,Ramon Magsaysay,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 704 
Sapa Anding,Ramon Magsaysay,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,258 "
Switch,Ramon Magsaysay,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,334 "
Mabuhay,Tabina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,899 "
San Francisco,Tabina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 756 
Gaulan,Diplahan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,519 "
Suclema,Ipil ,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,271 "
Little Baguio,Kabasalan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R, 550 
Tigpalay,Tungawan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 2,230 "
Migcawayan,Damulog,Bukidnon,Region X (Northern Mindanao),R," 1,598 "
Bershiba,Kitaotao,Bukidnon,Region X (Northern Mindanao),R, 887 
Pulang Yuta,Kapatagan,Lanao del Norte,Region X (Northern Mindanao),R, 711 
Libertad,Kolambugan,Lanao del Norte,Region X (Northern Mindanao),R," 2,352 "
Kadayonan,Munai,Lanao del Norte,Region X (Northern Mindanao),R, 773 
Madaya,Salvador,Lanao del Norte,Region X (Northern Mindanao),R," 1,278 "
Malimbato,Tagoloan,Lanao del Norte,Region X (Northern Mindanao),R," 1,359 "
Lamac Upper,City of Oroquieta ,Misamis Occidental,Region X (Northern Mindanao),R," 1,836 "
Calabayan,City of Ozamiz,Misamis Occidental,Region X (Northern Mindanao),R," 4,275 "
Taguima,Tudela,Misamis Occidental,Region X (Northern Mindanao),R," 1,014 "
Yahong,Tudela,Misamis Occidental,Region X (Northern Mindanao),R, 680 
Capitulangan,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R, 464 
Tinabalan,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R, 643 
Salay River I,Salay,Misamis Oriental,Region X (Northern Mindanao),R," 1,940 "
Libuak,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),R," 1,513 "
Busaon,City of Tagum ,Davao del Norte,Region XI (Davao Region),R," 3,197 "
La Union,Hagonoy,Davao del Sur,Region XI (Davao Region),R, 754 
San Roque,Santa Maria,Davao Occidental,Region XI (Davao Region),R," 1,658 "
Del Pilar,Magpet,Cotabato,Region XII (SOCCSKSARGEN),R, 751 
San Jose,City of Koronadal ,South Cotabato,Region XII (SOCCSKSARGEN),U," 8,750 "
Santo Niño,City of Koronadal ,South Cotabato,Region XII (SOCCSKSARGEN),U," 16,062 "
Poblacion,Palimbang,Sultan Kudarat,Region XII (SOCCSKSARGEN),U," 8,011 "
Medol,Palimbang,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 1,615 "
North Poblacion,Bucay,Abra,Cordillera Administrative Region (CAR),R," 1,175 "
Batan,Kabayan,Benguet,Cordillera Administrative Region (CAR),R," 1,072 "
Poitan,Banaue,Ifugao,Cordillera Administrative Region (CAR),R," 1,575 "
Dao-angan,Balbalan,Kalinga,Cordillera Administrative Region (CAR),R, 603 
Amado,Pudtol,Apayao,Cordillera Administrative Region (CAR),R, 761 
Cabinet,City of Cabadbaran,Agusan del Norte,Region XIII (Caraga),R," 2,130 "
Comagascas,City of Cabadbaran,Agusan del Norte,Region XIII (Caraga),R," 4,146 "
Grace Estate,City of Bayugan,Agusan del Sur,Region XIII (Caraga),R, 632 
Afga,Sibagat,Agusan del Sur,Region XIII (Caraga),R," 3,374 "
Benembengan Upper,Sumisip,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,588 "
Bohe-Pahuh,Ungkaya Pukan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 2,068 "
Sungkayut,Ungkaya Pukan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,311 "
Manggahan,Malabang,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,155 "
Banggolo Poblacion,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,280 "
Pitakus,Taraka,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 677 
Lumbac,Tugaya,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 978 
Serran Village,Wao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 722 
Marogong Proper ,Marogong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 4,641 "
Lantong Babag,Pangutaran,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,020 "
Poblacion,Parang,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,597 "
Manuk Mangkaw,Simunul,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,802 "
Tapian,Tandubas,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,501 "
Lipa,Barira,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,962 "
Orandang,Parang,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,526 "
Bungabong,Sultan Mastura,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,284 "
Dimampao,Datu Abdullah Sangki,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,269 "
Kalipapa,Datu Salibo,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 552 
Lydia ,Marcos,Ilocos Norte,Region I (Ilocos Region),R," 2,264 "
San Rufino ,San Nicolas,Ilocos Norte,Region I (Ilocos Region),R," 1,145 "
Bulag,Bantay,Ilocos Sur,Region I (Ilocos Region),R," 2,765 "
Rizal ,Cabugao,Ilocos Sur,Region I (Ilocos Region),U," 1,226 "
Sinabaan,Santa Catalina,Ilocos Sur,Region I (Ilocos Region),R," 1,379 "
Barikir,Sinait,Ilocos Sur,Region I (Ilocos Region),R, 493 
San Nicolas East,Agoo,La Union,Region I (Ilocos Region),R, 939 
Poblacion,Bacnotan,La Union,Region I (Ilocos Region),U," 3,620 "
Bani,Rosario,La Union,Region I (Ilocos Region),R," 1,675 "
Buer,Aguilar,Pangasinan,Region I (Ilocos Region),R," 3,394 "
Imbo,Anda,Pangasinan,Region I (Ilocos Region),R," 1,655 "
Palguyod,Pozorrubio,Pangasinan,Region I (Ilocos Region),R," 3,302 "
Villegas,Pozorrubio,Pangasinan,Region I (Ilocos Region),R," 1,898 "
San Bartolome,Rosales,Pangasinan,Region I (Ilocos Region),R," 1,570 "
Aponit,City of San Carlos,Pangasinan,Region I (Ilocos Region),U," 2,580 "
Sioasio West,Sual,Pangasinan,Region I (Ilocos Region),R," 1,195 "
Maseil-seil,Umingan,Pangasinan,Region I (Ilocos Region),R," 2,208 "
Mabanogbog,City of Urdaneta,Pangasinan,Region I (Ilocos Region),R," 3,470 "
San Antonio,Aparri,Cagayan,Region II (Cagayan Valley),U," 3,972 "
Quinawegan,Buguey,Cagayan,Region II (Cagayan Valley),R, 848 
Bacsay Mapulapula,Claveria,Cagayan,Region II (Cagayan Valley),R, 562 
Santiago,Claveria,Cagayan,Region II (Cagayan Valley),R, 354 
Camasi,Peñablanca,Cagayan,Region II (Cagayan Valley),R," 4,038 "
Sampaguita,Solana,Cagayan,Region II (Cagayan Valley),U," 6,073 "
Caggay,Tuguegarao City ,Cagayan,Region II (Cagayan Valley),U," 8,500 "
Linao Norte,Tuguegarao City ,Cagayan,Region II (Cagayan Valley),R," 3,694 "
San Andres,City of Ilagan ,Isabela,Region II (Cagayan Valley),R," 1,083 "
Estrada,Quezon,Isabela,Region II (Cagayan Valley),R, 839 
Labinab Grande ,Reina Mercedes,Isabela,Region II (Cagayan Valley),R, 900 
Decabacan,Diadi,Nueva Vizcaya,Region II (Cagayan Valley),R, 774 
Lupa,Kasibu,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,195 "
Osmeña,Solano,Nueva Vizcaya,Region II (Cagayan Valley),U," 5,700 "
Sangitan,City of Cabanatuan,Nueva Ecija,Region III (Central Luzon),U," 1,566 "
Sapang Buho,City of Palayan ,Nueva Ecija,Region III (Central Luzon),R," 4,496 "
Napon-Napon,Pantabangan,Nueva Ecija,Region III (Central Luzon),R," 1,226 "
Hulo,Santo Domingo,Nueva Ecija,Region III (Central Luzon),R," 2,015 "
Santiago,Lubao,Pampanga,Region III (Central Luzon),R," 4,575 "
Bobon 2nd,Camiling,Tarlac,Region III (Central Luzon),R," 1,319 "
Plastado,Gerona,Tarlac,Region III (Central Luzon),R," 1,589 "
Beddeng,San Narciso,Zambales,Region III (Central Luzon),R," 3,251 "
Dumantay,Batangas City ,Batangas,Region IV-A (CALABARZON),U," 5,753 "
Barangay 4 ,Batangas City ,Batangas,Region IV-A (CALABARZON),U," 1,638 "
Palahanan I,San Juan,Batangas,Region IV-A (CALABARZON),R, 870 
Narvaez,General Emilio Aguinaldo,Cavite,Region IV-A (CALABARZON),R," 1,486 "
Banaba Lejos,Indang,Cavite,Region IV-A (CALABARZON),U," 1,680 "
Wawa,Lumban,Laguna,Region IV-A (CALABARZON),R," 4,084 "
Wakat,Nagcarlan,Laguna,Region IV-A (CALABARZON),R," 1,702 "
Sumilang,Calauag,Quezon,Region IV-A (CALABARZON),R," 1,846 "
Cawayanin Ilaya,Catanauan,Quezon,Region IV-A (CALABARZON),R, 688 
Rizal ,Gumaca,Quezon,Region IV-A (CALABARZON),R, 943 
Binulasan,Infanta,Quezon,Region IV-A (CALABARZON),R," 3,583 "
Sinturisan,San Antonio,Quezon,Region IV-A (CALABARZON),R," 1,874 "
Manlampong,San Narciso,Quezon,Region IV-A (CALABARZON),R," 1,201 "
Bosigon,Tagkawayan,Quezon,Region IV-A (CALABARZON),R, 437 
Almacen,Unisan,Quezon,Region IV-A (CALABARZON),R, 853 
Ginoong Sanay,Binangonan,Rizal,Region IV-A (CALABARZON),R," 1,745 "
Libas,Buenavista,Marinduque,MIMAROPA Region,R," 2,450 "
San Vicente,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,R," 3,162 "
Bayanan,Baco,Oriental Mindoro,MIMAROPA Region,R," 1,518 "
San Nicolas,Coron,Palawan,MIMAROPA Region,R," 3,222 "
Canipaan,Rizal,Palawan,MIMAROPA Region,R," 2,969 "
Abo-abo,Sofronio Española,Palawan,MIMAROPA Region,R," 3,037 "
España,San Fernando,Romblon,MIMAROPA Region,R," 2,345 "
Bgy. 59 - Puro,City of Legazpi ,Albay,Region V (Bicol Region),U," 5,887 "
Zone VII ,Libon,Albay,Region V (Bicol Region),R," 1,541 "
Catabaguangan,Capalonga,Camarines Norte,Region V (Bicol Region),R, 689 
Fabrica,Bula,Camarines Sur,Region V (Bicol Region),U," 5,569 "
Cagamutan,Garchitorena,Camarines Sur,Region V (Bicol Region),R, 539 
Hiwacloy,Goa,Camarines Sur,Region V (Bicol Region),R," 2,442 "
Palong,Libmanan,Camarines Sur,Region V (Bicol Region),R," 1,724 "
Tampuhan,Libmanan,Camarines Sur,Region V (Bicol Region),R, 808 
Quitang,Pasacao,Camarines Sur,Region V (Bicol Region),R," 2,991 "
Daligan,Tinambac,Camarines Sur,Region V (Bicol Region),R," 1,067 "
Pajo Baguio,Virac ,Catanduanes,Region V (Bicol Region),R, 540 
Palnab Del Norte,Virac ,Catanduanes,Region V (Bicol Region),R," 1,998 "
Santo Domingo,Virac ,Catanduanes,Region V (Bicol Region),R," 1,434 "
Piña,Palanas,Masbate,Region V (Bicol Region),R, 863 
Bororan Barangay 1 ,Donsol,Sorsogon,Region V (Bicol Region),R," 1,136 "
Soligao,Barbaza,Antique,Region VI (Western Visayas),R, 332 
Sinaja,Belison,Antique,Region VI (Western Visayas),R," 1,051 "
Badiang,San Jose ,Antique,Region VI (Western Visayas),R," 3,476 "
Libon,Panay,Capiz,Region VI (Western Visayas),R," 1,011 "
Jamul-Awon,Concepcion,Iloilo,Region VI (Western Visayas),R," 1,061 "
Calang,Dueñas,Iloilo,Region VI (Western Visayas),R, 861 
Managuit,Dumangas,Iloilo,Region VI (Western Visayas),R, 947 
Poong,Lambunao,Iloilo,Region VI (Western Visayas),R, 773 
Caitib,Miagao,Iloilo,Region VI (Western Visayas),R, 564 
Bad-as,San Joaquin,Iloilo,Region VI (Western Visayas),R, 264 
Conaynay,Santa Barbara,Iloilo,Region VI (Western Visayas),R, 478 
Malapaya,Sara,Iloilo,Region VI (Western Visayas),R," 1,566 "
Cansilayan,Tigbauan,Iloilo,Region VI (Western Visayas),R, 407 
Delicioso,Ilog,Negros Occidental,Region VI (Western Visayas),R," 2,376 "
San Jose,City of Sipalay,Negros Occidental,Region VI (Western Visayas),U," 6,105 "
Suba,Anda,Bohol,Region VII (Central Visayas),R," 1,116 "
La Victoria,Carmen,Bohol,Region VII (Central Visayas),R," 1,178 "
Nueva Fuerza,Carmen,Bohol,Region VII (Central Visayas),R," 2,570 "
Cantubod,Danao,Bohol,Region VII (Central Visayas),R," 1,112 "
Poblacion,Danao,Bohol,Region VII (Central Visayas),R," 3,622 "
Canhayupon,Dimiao,Bohol,Region VII (Central Visayas),R, 595 
Datag,Garcia Hernandez,Bohol,Region VII (Central Visayas),R," 1,252 "
Oy,Loboc,Bohol,Region VII (Central Visayas),R," 1,444 "
Valaga,Mabini,Bohol,Region VII (Central Visayas),R, 952 
Calangcang,Badian,Cebu,Region VII (Central Visayas),R, 624 
Luca,Balamban,Cebu,Region VII (Central Visayas),R," 1,181 "
Budbud,Barili,Cebu,Region VII (Central Visayas),R," 1,846 "
Kangdampas,Barili,Cebu,Region VII (Central Visayas),R," 1,437 "
Manlayag,Danao City,Cebu,Region VII (Central Visayas),R," 1,808 "
Luka,Oslob,Cebu,Region VII (Central Visayas),R," 1,210 "
Lut-od,Pinamungajan,Cebu,Region VII (Central Visayas),R," 3,219 "
Bunga,City of Toledo,Cebu,Region VII (Central Visayas),U," 5,361 "
Agutayon,Jimalalud,Negros Oriental,Region VII (Central Visayas),R, 499 
Hagtu,Mabinay,Negros Oriental,Region VII (Central Visayas),R," 1,475 "
Barangay 4 ,Llorente,Eastern Samar,Region VIII (Eastern Visayas),R, 327 
Barangay 6 ,Salcedo,Eastern Samar,Region VIII (Eastern Visayas),R, 81 
Lawa-an,Abuyog,Leyte,Region VIII (Eastern Visayas),R, 377 
Cambalading,Albuera,Leyte,Region VIII (Eastern Visayas),R," 2,299 "
Salvacion,Albuera,Leyte,Region VIII (Eastern Visayas),R, 860 
San Isidro,Babatngon,Leyte,Region VIII (Eastern Visayas),R, 982 
Hugpa West,Burauen,Leyte,Region VIII (Eastern Visayas),R, 534 
Villa Aurora,Burauen,Leyte,Region VIII (Eastern Visayas),R, 609 
Ferdinand E. Marcos,Calubian,Leyte,Region VIII (Eastern Visayas),R, 844 
Petrolio,Calubian,Leyte,Region VIII (Eastern Visayas),R, 477 
Caanislagan,Dagami,Leyte,Region VIII (Eastern Visayas),R, 385 
San Vicente,Hindang,Leyte,Region VIII (Eastern Visayas),R, 972 
Naungan,Ormoc City,Leyte,Region VIII (Eastern Visayas),R," 3,935 "
Tabunok,Villaba,Leyte,Region VIII (Eastern Visayas),R," 1,575 "
Igot,Pambujan,Northern Samar,Region VIII (Eastern Visayas),R, 819 
Calocnayan,City of Calbayog,Samar,Region VIII (Eastern Visayas),R, 112 
Tinambacan Norte,City of Calbayog,Samar,Region VIII (Eastern Visayas),R," 2,134 "
Macugo,Gandara,Samar,Region VIII (Eastern Visayas),R, 392 
Amambucale,Marabut,Samar,Region VIII (Eastern Visayas),R, 574 
Tinaan,San Francisco,Southern Leyte,Region VIII (Eastern Visayas),R, 525 
Virginia ,Culaba,Biliran,Region VIII (Eastern Visayas),R," 1,836 "
Candelaria,Liloy,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,178 "
Guitran,Dumingag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,528 "
Guinimanan,Margosatubig,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 896 
Gubac,City of Pagadian ,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,047 "
Upper Bagong Tudela ,Josefina,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,725 "
Lantawan,Sominot,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 746 
Pilar,Diplahan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,195 "
Galas,Olutanga,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 2,017 "
Tilasan,Roseller Lim,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 1,060 "
Ramain,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),R," 2,643 "
Tambacon,Magsaysay,Lanao del Norte,Region X (Northern Mindanao),R," 1,060 "
Karkum,Sapad,Lanao del Norte,Region X (Northern Mindanao),R," 1,211 "
Misom,Baliangao,Misamis Occidental,Region X (Northern Mindanao),R," 1,856 "
Tipolohon,Claveria,Misamis Oriental,Region X (Northern Mindanao),R, 740 
Molugan,City of El Salvador,Misamis Oriental,Region X (Northern Mindanao),U," 12,843 "
Retablo,Libertad,Misamis Oriental,Region X (Northern Mindanao),R, 537 
San Remigio,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),R," 2,430 "
Libuton,San Isidro,Davao del Norte,Region XI (Davao Region),R, 971 
Mabini,Malalag,Davao del Sur,Region XI (Davao Region),R," 2,051 "
Astorga,Santa Cruz,Davao del Sur,Region XI (Davao Region),U," 12,263 "
Balasinon,Sulop,Davao del Sur,Region XI (Davao Region),R, 787 
Santo Rosario,San Isidro,Davao Oriental,Region XI (Davao Region),R, 908 
San Miguel,Compostela,Davao de Oro,Region XI (Davao Region),U," 7,639 "
Langgawisan,Maragusan,Davao de Oro,Region XI (Davao Region),R," 3,019 "
Guiling,Alamada,Cotabato,Region XII (SOCCSKSARGEN),U," 6,181 "
Kilagasan,Kabacan,Cotabato,Region XII (SOCCSKSARGEN),R," 4,518 "
Poblacion III,Lebak,Sultan Kudarat,Region XII (SOCCSKSARGEN),U," 2,640 "
Malatuneng,Palimbang,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 1,977 "
Santa Rosa,Bangued ,Abra,Cordillera Administrative Region (CAR),R," 2,296 "
Patiao,Peñarrubia,Abra,Cordillera Administrative Region (CAR),R, 738 
Alapang,La Trinidad ,Benguet,Cordillera Administrative Region (CAR),U," 5,241 "
Duit,Kiangan,Ifugao,Cordillera Administrative Region (CAR),R," 2,178 "
Poblacion North,Lagawe ,Ifugao,Cordillera Administrative Region (CAR),R," 1,817 "
Guinihon,Mayoyao,Ifugao,Cordillera Administrative Region (CAR),R, 510 
Sta. Isabel,Natonin,Mountain Province,Cordillera Administrative Region (CAR),R, 705 
Sinai,Sibagat,Agusan del Sur,Region XIII (Caraga),R, 607 
Masgad,Malimono,Surigao del Norte,Region XIII (Caraga),R," 2,204 "
Day-asan,City of Surigao ,Surigao del Norte,Region XIII (Caraga),R," 2,032 "
Port Holland Zone V,Maluso,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,354 "
Bubong Raya,Bayang,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 368 
Lindongan Dialongana,Lumba-Bayabao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,669 "
Marawi Poblacion,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 4,450 "
Malungun,Taraka,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 524 
Milaya,Wao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,144 "
Cadayonan,Lumbayanague,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 791 
Lambayong,Indanan,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,392 "
Asturias,Jolo ,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 26,997 "
Niog-niog,Pata,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,328 "
Upper Taviran,Kabuntalan,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,073 "
Binangga North,Talayan,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,418 "
San Basilio ,Magsingal,Ilocos Sur,Region I (Ilocos Region),R, 437 
Bantaoay,San Vicente,Ilocos Sur,Region I (Ilocos Region),R," 1,820 "
Lesseb,Santa Maria,Ilocos Sur,Region I (Ilocos Region),R, 194 
Bagutot,Bacnotan,La Union,Region I (Ilocos Region),R, 261 
Basing,Binmaley,Pangasinan,Region I (Ilocos Region),R," 2,734 "
Caturay Norte,Mangatarem,Pangasinan,Region I (Ilocos Region),R, 856 
Santa Maria West,San Nicolas,Pangasinan,Region I (Ilocos Region),R," 1,457 "
Cabalitian,Sual,Pangasinan,Region I (Ilocos Region),R," 1,098 "
Catotoran Norte,Camalaniugan,Cagayan,Region II (Cagayan Valley),R," 1,068 "
Dummun,Gattaran,Cagayan,Region II (Cagayan Valley),R," 1,750 "
Centro ,Lal-Lo,Cagayan,Region II (Cagayan Valley),R," 1,423 "
Simbaluca,Santa Teresita,Cagayan,Region II (Cagayan Valley),U, 577 
Tamucco,Santo Niño,Cagayan,Region II (Cagayan Valley),R, 640 
Calamagui,Solana,Cagayan,Region II (Cagayan Valley),R," 2,210 "
Centro 4 ,Tuguegarao City ,Cagayan,Region II (Cagayan Valley),U, 591 
Rizaluna,Alicia,Isabela,Region II (Cagayan Valley),R," 1,991 "
Cabannungan 2nd,City of Ilagan ,Isabela,Region II (Cagayan Valley),R," 1,852 "
Aneg,Delfin Albano,Isabela,Region II (Cagayan Valley),R," 1,648 "
Bugallon Norte,Ramon,Isabela,Region II (Cagayan Valley),U," 5,760 "
Quinagabian,Santa Maria,Isabela,Region II (Cagayan Valley),R," 1,179 "
Ammugauan,Santo Tomas,Isabela,Region II (Cagayan Valley),R, 839 
Balut II,Pilar,Bataan,Region III (Central Luzon),R," 1,302 "
Lagundi,Plaridel,Bulacan,Region III (Central Luzon),U," 4,962 "
Capihan,San Rafael,Bulacan,Region III (Central Luzon),U," 6,128 "
Mag-asawang Sapa,Santa Maria,Bulacan,Region III (Central Luzon),U," 10,381 "
Bambanaba,Cuyapo,Nueva Ecija,Region III (Central Luzon),R," 2,162 "
Villa Santos,Science City of Muñoz,Nueva Ecija,Region III (Central Luzon),R, 986 
San Roque,San Leonardo,Nueva Ecija,Region III (Central Luzon),R," 3,292 "
San Pedro,Santa Rosa,Nueva Ecija,Region III (Central Luzon),R," 1,867 "
Vizal San Pablo,Candaba,Pampanga,Region III (Central Luzon),U," 2,824 "
Nabuclod,Floridablanca,Pampanga,Region III (Central Luzon),R," 4,413 "
